time,open,high,low,close,#1,#2,#3,#5
1761266700,25300,25300.25,25293.75,25295.5,25283.25,25065.75,24843,21269
1761266880,25296.25,25298.25,25294.25,25296.25,25283.25,25065.75,24843,21269
1761267060,25297,25300,25295.25,25296.75,25283.25,25065.75,24843,21269
1761267240,25295.5,25298.25,25292.75,25297.5,25283.25,25065.75,24843,21269
1761267420,25297.75,25301.5,25297.5,25301,25283.25,25065.75,24843,21269
1761267600,25300.25,25305.75,25299.5,25304.75,25283.25,25065.75,24843,21269
1761267780,25305.25,25307.75,25302.75,25307.5,25283.25,25065.75,24843,21269
1761267960,25307.75,25312.75,25307,25311,25283.25,25065.75,24843,21269
1761268140,25311.25,25314.5,25310,25313,25283.25,25065.75,24843,21269
1761268320,25314,25318.75,25314,25318,25283.25,25065.75,24843,21269
1761268500,25318.25,25321.25,25316.5,25319,25283.25,25065.75,24843,21269
1761268680,25318.75,25320,25314.75,25318.25,25283.25,25065.75,24843,21269
1761268860,25317.75,25318.5,25316,25317.5,25283.25,25065.75,24843,21269
1761269040,25317,25317.25,25310.25,25311.25,25283.25,25065.75,24843,21269
1761269220,25310.75,25310.75,25302.5,25303.75,25283.25,25065.75,24843,21269
1761269400,25303,25305,25297,25303.75,25283.25,25065.75,24843,21269
1761269580,25302.5,25304.5,25298.75,25299.5,25283.25,25065.75,24843,21269
1761269760,25300,25304.5,25298.25,25304.25,25283.25,25065.75,24843,21269
1761269940,25304,25305.75,25301.75,25303.25,25283.25,25065.75,24843,21269
1761270120,25304,25307.25,25303.75,25307,25283.25,25065.75,24843,21269
1761270300,25307,25311,25306.5,25309.25,25283.25,25065.75,24843,21269
1761270480,25308.75,25311.25,25307.25,25311.25,25283.25,25065.75,24843,21269
1761270660,25311.25,25319.5,25310.75,25317.25,25283.25,25065.75,24843,21269
1761270840,25317,25319,25314.5,25316.25,25283.25,25065.75,24843,21269
1761271020,25316.75,25318.5,25315.5,25318.25,25283.25,25065.75,24843,21269
1761271200,25317.5,25318,25315.5,25316.5,25283.25,25065.75,24843,21269
1761271380,25315.5,25316.25,25311.5,25312.5,25283.25,25065.75,24843,21269
1761271560,25312,25315,25311.75,25313.75,25283.25,25065.75,24843,21269
